frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
262,11.6677,544.2,105.5,0.5458,-0.2022,6
263,11.7122,458.1,90.8,1.0523,0.5065,11
264,11.7567,459.9,121.4,1.0417,-0.0106,11
265,11.8013,464.3,156.6,1.016,-0.0257,11
266,11.8458,464.6,171.1,1.0143,-0.0017,11
267,11.8903,428.3,128.4,1.2277,0.2134,13
268,11.9349,436.7,149.4,1.1785,-0.0492,12
269,11.9794,374.8,125.2,1.5423,0.3638,16
270,12.0239,438.8,116.4,1.1659,-0.3764,12
271,12.0685,446.9,152.3,1.1182,-0.0477,12
272,12.113,493.8,193.1,0.8424,-0.2758,9
273,12.1575,481.9,145.3,0.9123,0.0699,10
274,12.2021,373.3,108.1,1.551,0.6387,16
275,12.2466,404.5,88.0,1.3678,-0.1832,14
276,12.2911,417.4,123.9,1.2915,-0.0763,13
277,12.3356,427.0,151.9,1.2356,-0.056,13
278,12.3802,479.5,140.7,0.9264,-0.3092,10
279,12.4247,510.2,152.2,0.7461,-0.1803,8
280,12.4692,463.7,113.7,1.0195,0.2734,11
281,12.5138,465.5,154.3,1.0086,-0.0109,11
282,12.5583,465.4,183.2,1.0093,0.0008,11
283,12.6028,468.3,212.5,0.9923,-0.017,10
284,12.6474,474.5,242.7,0.9557,-0.0366,10
285,12.6919,474.0,257.0,0.9591,0.0033,10
286,12.7364,479.6,278.8,0.926,-0.033,10
287,12.781,479.3,288.6,0.9278,0.0018,10
288,12.8255,487.9,311.4,0.8771,-0.0507,9
289,12.87,480.8,301.8,0.9187,0.0416,10
290,12.9146,512.8,349.1,0.7306,-0.1881,8
291,12.9591,498.5,265.9,0.8144,0.0838,9
292,13.0036,422.6,215.2,1.2611,0.4467,13
293,13.0482,437.2,162.0,1.1754,-0.0857,12
294,13.0927,448.1,202.6,1.1113,-0.0641,12
295,13.1372,453.7,229.0,1.0781,-0.0332,11
296,13.1818,452.6,232.5,1.0849,0.0068,11
297,13.2263,456.4,248.0,1.0626,-0.0223,11
298,13.2708,459.4,260.1,1.0447,-0.0179,11
299,13.3154,486.3,196.5,0.8862,-0.1584,9
300,13.3599,484.1,222.6,0.8992,0.013,9
301,13.4044,463.3,167.4,1.0218,0.1225,11
302,13.449,409.3,126.3,1.3393,0.3175,14
303,13.4935,417.1,104.0,1.2934,-0.0459,13
304,13.538,426.8,143.0,1.2365,-0.0569,13
305,13.5826,434.4,172.6,1.1919,-0.0446,12
306,13.6271,459.1,154.1,1.0465,-0.1455,11
